"beta_hat","bias","rmse","covered","cindex","ibs","scenario","rep"
0.754895735642871,0.0617485550829262,0.00381288405482917,1,0.640046147929753,NA,"PH",50
0.524856027608644,-0.168291152951301,0.0283219121616781,0,0.71256038647343,NA,"PH",51
0.53964994976787,-0.153497230792076,0.0235613998608357,0,0.666205560935122,NA,"PH",52
0.750256237617184,0.0571090570572385,0.00326144439796692,1,0.628133704735376,NA,"PH",53
0.739526641045683,0.0463794604857375,0.00215105435494809,1,0.669068736141907,NA,"PH",54
0.797441303551562,0.104294122991617,0.0108772640905905,1,0.67566094303625,NA,"PH",55
0.740740881410807,0.0475937008508619,0.00226516036068133,1,0.659417663404615,NA,"PH",56
0.669296480066366,-0.0238507004935793,0.000568855914034423,1,0.670486737058975,NA,"PH",57
0.701273093572708,0.00812591301276266,6.60304622909856e-05,1,0.624785308495178,NA,"PH",58
0.662644380864749,-0.0305027996951963,0.000930420789245268,1,0.629195088676671,NA,"PH",59
0.552940669671527,-0.140206510888419,0.0196578656955043,1,0.722595963593194,NA,"PH",60
0.629926560468799,-0.063220620091146,0.00399684680470902,1,0.687652373440413,NA,"PH",61
0.764477581389856,0.0713304008299103,0.00508802608255566,1,0.703982639775338,NA,"PH",62
0.765246836633253,0.0720996560733078,0.00519836040588927,1,0.698644421272159,NA,"PH",63
0.698050798568228,0.00490361800828298,2.40454695711572e-05,1,0.688196899646451,NA,"PH",64
0.721284447035122,0.0281372664751763,0.000791705764695082,1,0.683927833631731,NA,"PH",65
0.656758022203362,-0.0363891583565829,0.00132417084590046,1,0.63707879900354,NA,"PH",66
0.822198640331084,0.129051459771138,0.0166542792690618,1,0.608238513610831,NA,"PH",67
0.634657152881494,-0.058490027678451,0.00342108333782597,1,0.679773869346734,NA,"PH",68
0.737228148202504,0.0440809676425586,0.0019431317083043,1,0.712401665895419,NA,"PH",69
0.607724213390429,-0.0854229671695166,0.00729708332004431,1,0.661372453928225,NA,"PH",70
0.708070271687007,0.0149230911270618,0.000222698648786591,1,0.69786441163824,NA,"PH",71
0.615317777591104,-0.0778294029688411,0.00605741596648625,1,0.698841222879684,NA,"PH",72
0.784244025257743,0.0910968446977978,0.00829863511389469,1,0.631977772164688,NA,"PH",73
0.79585413063506,0.102706950075115,0.0105487175937321,1,0.733834143467374,NA,"PH",74
0.717454164125594,0.0243069835656491,0.000590829450060735,1,0.647919463087248,NA,"PH",75
0.655815612651922,-0.0373315679080232,0.00139364596247135,1,0.687099358974359,NA,"PH",76
0.696649457272642,0.00350227671269632,1.22659421722949e-05,1,0.702440819330308,NA,"PH",77
0.748613834057612,0.055466653497667,0.00307654965023025,1,0.68071944094398,NA,"PH",78
